Fecha,Gas licuado de petróleo,Gasolina regular,Gasolina superior,Diesel alto azufre,Total
ene-00,"194,410.48","202,645.20","308,156.82","634,667.06","1,750,544.64"
feb-00,"174,710.55","205,530.96","307,766.31","642,380.66","1,773,220.22"
mar-00,"189,234.07","229,499.56","331,910.29","699,807.25","1,909,498.79"
abr-00,"174,330.61","210,680.40","315,648.08","586,803.98","1,800,932.86"
may-00,"191,745.15","208,164.34","319,667.97","656,948.20","1,941,771.90"
jun-00,"196,321.93","195,088.74","300,347.70","570,919.88","1,769,366.26"
jul-00,"192,344.50","204,556.77","308,305.93","576,436.02","1,673,278.98"
ago-00,"203,727.08","218,388.51","323,011.86","593,770.77","1,810,002.79"
sep-00,"194,565.10","213,906.96","326,455.72","590,145.40","1,725,127.08"
oct-00,"210,261.83","213,606.65","323,843.63","641,113.36","1,737,120.01"
nov-00,"205,027.95","209,227.48","320,788.08","657,086.30","1,795,294.07"
dic-00,"200,247.56","230,020.70","366,987.56","673,282.26","1,845,363.41"
ene-01,"179,405.99","164,547.35","300,242.78","569,328.79","1,714,081.59"
feb-01,"167,818.14","174,838.81","301,483.40","597,749.83","1,739,031.76"
mar-01,"186,397.33","201,992.65","355,572.83","736,085.97","1,988,404.31"
abr-01,"175,820.35","198,683.39","355,826.76","606,257.66","1,829,317.82"
may-01,"178,303.33","182,504.09","336,040.04","664,082.66","1,948,459.78"
jun-01,"177,826.93","201,379.48","308,804.70","559,333.03","1,718,453.05"
jul-01,"191,041.99","214,980.24","350,501.97","589,452.73","1,921,045.63"
ago-01,"190,295.99","204,646.77","348,414.65","568,546.37","1,873,590.93"
sep-01,"184,039.99","188,292.35","324,393.96","533,108.39","1,691,157.20"
oct-01,"206,176.99","225,240.95","366,261.63","603,371.18","1,900,781.31"
nov-01,"201,335.99","210,324.95","351,890.63","626,156.18","2,074,265.31"
dic-01,"209,792.99","223,209.95","403,561.63","664,190.18","1,984,361.31"
ene-02,"196,068.61","200,309.85","368,935.53","726,672.60","2,112,825.45"
feb-02,"180,209.80","183,119.34","348,917.79","694,344.78","2,064,927.45"
mar-02,"186,680.97","212,711.71","385,044.97","656,379.29","2,029,895.69"
abr-02,"196,167.16","204,765.62","379,741.98","683,646.17","2,043,917.24"
may-02,"201,612.36","201,083.51","375,054.64","707,165.47","2,169,205.60"
jun-02,"193,024.40","187,629.42","371,138.59","667,820.71","1,970,931.30"
jul-02,"204,196.24","201,692.64","399,944.65","656,761.60","2,074,953.47"
ago-02,"213,625.43","205,240.77","392,355.62","657,099.74","1,978,270.27"
sep-02,"209,849.76","177,614.80","347,191.44","653,664.60","1,881,488.26"
oct-02,"212,932.33","203,097.24","381,595.20","653,053.27","1,885,639.38"
nov-02,"210,000.55","207,629.81","384,334.22","671,401.33","2,024,694.57"
dic-02,"223,830.40","199,619.27","400,645.42","676,192.45","2,114,057.32"
ene-03,"213,268.98","193,713.62","376,516.58","769,843.30","2,112,897.20"
feb-03,"206,815.01","184,354.61","355,760.81","709,783.58","1,976,777.46"
mar-03,"216,427.95","201,443.37","361,880.87","786,484.49","2,287,002.66"
abr-03,"204,403.51","219,004.31","377,395.17","709,626.39","2,149,365.04"
